SURVEY_SERIES_ID,BLOCK_DESIGNATION,LATITUDE,LONGITUDE,DEPTH_M,GROUPING_CODE,SELECTION_IND,SELECTION_ID,SELECTION_TYPE_CODE,FE_MAJOR_LEVEL_ID,STATUS_CODE,NUM_FISHING_ATTEMPTS,STATUS
43,9002,50.17475,-128.244,-1410,NULL,1,1,1,NULL,1,0,Rejected based on prior knowledge
43,9003,50.17456,-128.216,-1168,55,1,1,1,39,6,1,Successfully fished on first attempt
43,9025,50.13975,-128.4125,-1051,55,1,1,1,40,6,1,Successfully fished on first attempt
43,9121,50.01355,-128.3582,-1132,55,1,2,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,9333,49.72107,-127.7793,-747,54,1,1,1,33,6,1,Successfully fished on first attempt
43,9337,49.71985,-127.6684,-645,54,1,1,1,32,6,1,Successfully fished on first attempt
43,9405,49.64552,-127.4765,-674,54,1,1,1,31,6,1,Successfully fished on first attempt
43,9432,49.61163,-127.6436,-574,54,1,1,1,28,6,1,Successfully fished on first attempt
43,9437,49.60992,-127.5053,-696,54,1,1,1,30,6,1,Successfully fished on first attempt
43,9452,49.59264,-127.5611,-684,54,1,1,1,29,6,1,Successfully fished on first attempt
43,9518,49.52234,-127.7014,-1119,55,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,9625,49.39107,-127.2914,-556,54,1,1,1,26,6,1,Successfully fished on first attempt
43,9645,49.35551,-127.3202,-972,55,1,1,1,24,6,1,Successfully fished on first attempt
43,9648,49.35428,-127.2376,-408,53,1,1,1,25,6,1,Successfully fished on first attempt
43,9664,49.31955,-127.3214,-1264,55,1,1,1,23,6,1,Successfully fished on first attempt
43,9671,49.31659,-127.1289,-184,53,1,1,1,22,6,1,Successfully fished on first attempt
43,9673,49.30235,-127.377,-1307,NULL,1,1,1,NULL,2,0,Rejected based on on-ground inspection
43,9674,49.30196,-127.3495,-1317,NULL,1,1,1,NULL,2,0,Rejected based on on-ground inspection
43,9675,49.30156,-127.322,-1298,55,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,9887,51.82139,-130.5672,-298,56,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,9943,51.78692,-130.45,-416,56,1,1,1,72,6,1,Successfully fished on first attempt
43,9973,51.77032,-130.3336,-236,56,1,1,1,73,6,1,Successfully fished on first attempt
43,10238,51.61063,-130.1267,-537,57,1,1,1,74,6,1,Successfully fished on first attempt
43,10310,51.55458,-130.3272,-977,58,1,1,1,75,6,1,Successfully fished on first attempt
43,10358,51.51727,-130.4415,-1052,58,1,1,1,76,6,1,Successfully fished on first attempt
43,10360,51.51796,-130.3838,-1129,58,1,1,1,77,6,1,Successfully fished on first attempt
43,10386,51.50097,-130.2969,-982,58,1,1,1,78,6,1,Successfully fished on first attempt
43,10541,51.39706,-129.8627,-227,56,1,1,1,46,6,1,Successfully fished on first attempt
43,10553,51.37603,-130.2071,-803,57,1,1,1,79,6,1,Successfully fished on first attempt
43,10596,51.36207,-129.7184,-207,56,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,10683,51.28553,-130.2621,-1284,58,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,10806,51.21585,-130.0311,-527,57,1,1,1,81,6,1,Successfully fished on first attempt
43,10834,51.19735,-130.0879,-702,57,1,1,1,80,6,1,Successfully fished on first attempt
43,10984,51.12946,-129.4861,-287,56,1,1,1,47,6,1,Successfully fished on first attempt
43,11117,51.02103,-129.599,-639,57,1,1,1,48,6,1,Successfully fished on first attempt
43,11206,50.91312,-129.5976,-232,56,1,1,1,49,6,1,Successfully fished on first attempt
43,11209,50.91353,-129.5123,-190,56,1,1,1,50,6,1,Successfully fished on first attempt
43,11248,50.82361,-129.5113,-672,57,1,1,1,51,6,1,Successfully fished on first attempt
43,11269,53.10654,-132.6457,-224,59,1,1,1,67,6,1,Successfully fished on first attempt
43,11276,53.06504,-132.8214,-1189,61,1,1,1,65,6,1,Successfully fished on first attempt
43,11278,53.06694,-132.7618,-1194,61,1,1,1,66,6,1,Successfully fished on first attempt
43,11282,53.07065,-132.6427,-345,59,1,2,1,68,6,1,Successfully fished on first attempt
43,11322,53.01952,-132.5488,-255,59,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,11354,52.98363,-132.5459,-605,60,1,1,1,69,6,1,Successfully fished on first attempt
